HYPERPARAMS
n_neurons_hl1 = 256
n_neurons_hl2 = 256
discount = 0.99
learning_rate = 0.001
##################################################
EP	reward	steps	d_start	d_end	covered	info
6355	-137.0	78	0.0880	0.0398	0.0482	ACTUATOR EXCEEDED: l2 = 0.0740 @step 78
6356	-55.0	100	0.1108	0.0794	0.0314	MAX STEPS 100 REACHED, DISTANCE 0.0794.
6357	-53.2	100	0.0993	0.0529	0.0464	MAX STEPS 100 REACHED, DISTANCE 0.0529.
6358	-46.3	100	0.0446	0.0572	-0.0126	MAX STEPS 100 REACHED, DISTANCE 0.0572.
6359	-45.8	100	0.0682	0.0524	0.0158	MAX STEPS 100 REACHED, DISTANCE 0.0524.
6360	-46.7	100	0.0797	0.0250	0.0547	MAX STEPS 100 REACHED, DISTANCE 0.0250.
6361	-45.0	100	0.0694	0.0338	0.0356	MAX STEPS 100 REACHED, DISTANCE 0.0338.
6362	-52.7	100	0.0931	0.0677	0.0253	MAX STEPS 100 REACHED, DISTANCE 0.0677.
6363	-46.6	100	0.0366	0.0531	-0.0165	MAX STEPS 100 REACHED, DISTANCE 0.0531.
6364	-46.0	100	0.0698	0.0377	0.0321	MAX STEPS 100 REACHED, DISTANCE 0.0377.
6365	-54.0	100	0.0837	0.0882	-0.0044	MAX STEPS 100 REACHED, DISTANCE 0.0882.
6366	-52.7	100	0.0891	0.0647	0.0245	MAX STEPS 100 REACHED, DISTANCE 0.0647.
6367	-44.2	100	0.0567	0.0285	0.0281	MAX STEPS 100 REACHED, DISTANCE 0.0285.
6368	-51.6	100	0.0625	0.0790	-0.0165	MAX STEPS 100 REACHED, DISTANCE 0.0790.
6369	-46.7	100	0.0715	0.0457	0.0258	MAX STEPS 100 REACHED, DISTANCE 0.0457.
6370	-48.9	100	0.0441	0.0514	-0.0073	MAX STEPS 100 REACHED, DISTANCE 0.0514.
6371	-52.8	100	0.0451	0.0914	-0.0463	MAX STEPS 100 REACHED, DISTANCE 0.0914.
6372	-54.6	100	0.1078	0.0753	0.0324	MAX STEPS 100 REACHED, DISTANCE 0.0753.
6373	-46.7	100	0.0703	0.0344	0.0359	MAX STEPS 100 REACHED, DISTANCE 0.0344.
6374	-52.8	100	0.0785	0.0835	-0.0050	MAX STEPS 100 REACHED, DISTANCE 0.0835.
6375	-56.5	100	0.0969	0.1116	-0.0147	MAX STEPS 100 REACHED, DISTANCE 0.1116.
6376	-51.4	100	0.0909	0.0507	0.0403	MAX STEPS 100 REACHED, DISTANCE 0.0507.
6377	77.5	60	0.0432	0.0038	0.0394	GOAL!!! DISPLACEMENT 0.0038m @step 60
6378	-37.2	100	0.0323	0.0183	0.0140	MAX STEPS 100 REACHED, DISTANCE 0.0183.
6379	-58.9	100	0.1064	0.1177	-0.0113	MAX STEPS 100 REACHED, DISTANCE 0.1177.
6380	-44.4	100	0.0708	0.0383	0.0325	MAX STEPS 100 REACHED, DISTANCE 0.0383.
6381	-49.4	100	0.0438	0.0787	-0.0349	MAX STEPS 100 REACHED, DISTANCE 0.0787.
6382	-54.5	100	0.0733	0.0909	-0.0176	MAX STEPS 100 REACHED, DISTANCE 0.0909.
6383	-55.7	100	0.0666	0.0938	-0.0271	MAX STEPS 100 REACHED, DISTANCE 0.0938.
6384	-39.8	100	0.0183	0.0215	-0.0032	MAX STEPS 100 REACHED, DISTANCE 0.0215.
6385	-43.9	100	0.0205	0.0527	-0.0322	MAX STEPS 100 REACHED, DISTANCE 0.0527.
6386	-48.6	100	0.0803	0.0495	0.0308	MAX STEPS 100 REACHED, DISTANCE 0.0495.
6387	-45.5	100	0.0541	0.0344	0.0197	MAX STEPS 100 REACHED, DISTANCE 0.0344.
6388	-40.9	100	0.0340	0.0362	-0.0022	MAX STEPS 100 REACHED, DISTANCE 0.0362.
6389	-44.6	100	0.0543	0.0307	0.0236	MAX STEPS 100 REACHED, DISTANCE 0.0307.
6390	-39.8	100	0.0590	0.0123	0.0467	MAX STEPS 100 REACHED, DISTANCE 0.0123.
6391	-132.2	64	0.0803	0.0731	0.0072	ACTUATOR EXCEEDED: l2 = 0.0740 @step 64
6392	-51.0	100	0.0637	0.0651	-0.0015	MAX STEPS 100 REACHED, DISTANCE 0.0651.
6393	-43.2	100	0.0379	0.0286	0.0093	MAX STEPS 100 REACHED, DISTANCE 0.0286.
6394	-46.9	100	0.0760	0.0303	0.0457	MAX STEPS 100 REACHED, DISTANCE 0.0303.
6395	-41.0	100	0.0587	0.0169	0.0417	MAX STEPS 100 REACHED, DISTANCE 0.0169.
6396	-127.2	49	0.1005	0.1068	-0.0063	ACTUATOR EXCEEDED: l2 = 0.0740 @step 49
6397	-42.5	100	0.0545	0.0189	0.0356	MAX STEPS 100 REACHED, DISTANCE 0.0189.
6398	-57.3	100	0.1036	0.1079	-0.0043	MAX STEPS 100 REACHED, DISTANCE 0.1079.
6399	-41.9	100	0.0344	0.0444	-0.0100	MAX STEPS 100 REACHED, DISTANCE 0.0444.
6400	-54.2	100	0.0905	0.0807	0.0098	MAX STEPS 100 REACHED, DISTANCE 0.0807.
6401	-43.8	100	0.0267	0.0446	-0.0179	MAX STEPS 100 REACHED, DISTANCE 0.0446.
6402	-43.0	100	0.0233	0.0443	-0.0209	MAX STEPS 100 REACHED, DISTANCE 0.0443.
6403	-35.1	100	0.0339	0.0193	0.0147	MAX STEPS 100 REACHED, DISTANCE 0.0193.
6404	-44.3	100	0.0333	0.0460	-0.0128	MAX STEPS 100 REACHED, DISTANCE 0.0460.
6405	-49.1	100	0.0424	0.0650	-0.0226	MAX STEPS 100 REACHED, DISTANCE 0.0650.
6406	-51.7	100	0.0657	0.0747	-0.0090	MAX STEPS 100 REACHED, DISTANCE 0.0747.
6407	-38.8	100	0.0261	0.0232	0.0029	MAX STEPS 100 REACHED, DISTANCE 0.0232.
6408	-51.8	100	0.0914	0.0700	0.0214	MAX STEPS 100 REACHED, DISTANCE 0.0700.
6409	-141.0	83	0.0474	0.0605	-0.0131	ACTUATOR EXCEEDED: l2 = 0.0740 @step 83
6410	-52.1	100	0.0961	0.0662	0.0299	MAX STEPS 100 REACHED, DISTANCE 0.0662.
6411	-45.1	100	0.0183	0.0563	-0.0380	MAX STEPS 100 REACHED, DISTANCE 0.0563.
6412	-54.3	100	0.0849	0.0851	-0.0001	MAX STEPS 100 REACHED, DISTANCE 0.0851.
6413	-143.4	86	0.0794	0.0649	0.0145	ACTUATOR EXCEEDED: l2 = 0.0740 @step 86
6414	-41.4	100	0.0297	0.0483	-0.0186	MAX STEPS 100 REACHED, DISTANCE 0.0483.
6415	-46.7	100	0.0488	0.0525	-0.0038	MAX STEPS 100 REACHED, DISTANCE 0.0525.
6416	-52.9	100	0.1043	0.0616	0.0426	MAX STEPS 100 REACHED, DISTANCE 0.0616.
6417	-48.8	100	0.0347	0.0442	-0.0095	MAX STEPS 100 REACHED, DISTANCE 0.0442.
6418	-47.7	100	0.0669	0.0493	0.0176	MAX STEPS 100 REACHED, DISTANCE 0.0493.
6419	-51.3	100	0.0850	0.0648	0.0202	MAX STEPS 100 REACHED, DISTANCE 0.0648.
6420	-42.4	100	0.0547	0.0142	0.0404	MAX STEPS 100 REACHED, DISTANCE 0.0142.
6421	-53.9	100	0.0794	0.0788	0.0006	MAX STEPS 100 REACHED, DISTANCE 0.0788.
6422	-55.4	100	0.1085	0.0757	0.0328	MAX STEPS 100 REACHED, DISTANCE 0.0757.
6423	-43.2	100	0.0246	0.0399	-0.0153	MAX STEPS 100 REACHED, DISTANCE 0.0399.
6424	-41.7	100	0.0617	0.0373	0.0245	MAX STEPS 100 REACHED, DISTANCE 0.0373.
6425	-44.4	100	0.0330	0.0376	-0.0046	MAX STEPS 100 REACHED, DISTANCE 0.0376.
6426	-133.6	65	0.1038	0.0585	0.0453	ACTUATOR EXCEEDED: l2 = 0.0740 @step 65
6427	-44.9	100	0.0428	0.0325	0.0103	MAX STEPS 100 REACHED, DISTANCE 0.0325.
6428	-131.8	73	0.0740	0.0255	0.0485	ACTUATOR EXCEEDED: l2 = 0.0740 @step 73
6429	-52.8	100	0.0724	0.0861	-0.0137	MAX STEPS 100 REACHED, DISTANCE 0.0861.
6430	-34.7	100	0.0442	0.0097	0.0345	MAX STEPS 100 REACHED, DISTANCE 0.0097.
6431	-147.1	82	0.1105	0.1084	0.0021	ACTUATOR EXCEEDED: l2 = 0.0740 @step 82
6432	-48.2	100	0.0898	0.0553	0.0344	MAX STEPS 100 REACHED, DISTANCE 0.0553.
6433	-45.5	100	0.0625	0.0554	0.0071	MAX STEPS 100 REACHED, DISTANCE 0.0554.
6434	-36.3	100	0.0276	0.0152	0.0124	MAX STEPS 100 REACHED, DISTANCE 0.0152.
6435	-51.1	100	0.0999	0.0725	0.0275	MAX STEPS 100 REACHED, DISTANCE 0.0725.
6436	-42.4	100	0.0273	0.0336	-0.0063	MAX STEPS 100 REACHED, DISTANCE 0.0336.
6437	-48.9	100	0.0916	0.0471	0.0445	MAX STEPS 100 REACHED, DISTANCE 0.0471.
6438	-54.1	100	0.0929	0.1005	-0.0076	MAX STEPS 100 REACHED, DISTANCE 0.1005.
6439	-53.4	100	0.0972	0.0728	0.0243	MAX STEPS 100 REACHED, DISTANCE 0.0728.
6440	-51.7	100	0.0822	0.0682	0.0140	MAX STEPS 100 REACHED, DISTANCE 0.0682.
6441	-56.9	100	0.0994	0.1027	-0.0033	MAX STEPS 100 REACHED, DISTANCE 0.1027.
6442	-56.9	100	0.0858	0.1080	-0.0223	MAX STEPS 100 REACHED, DISTANCE 0.1080.
6443	-40.9	100	0.0431	0.0181	0.0250	MAX STEPS 100 REACHED, DISTANCE 0.0181.
6444	-40.4	100	0.0444	0.0390	0.0053	MAX STEPS 100 REACHED, DISTANCE 0.0390.
6445	-42.4	100	0.0659	0.0204	0.0456	MAX STEPS 100 REACHED, DISTANCE 0.0204.
6446	-42.3	100	0.0383	0.0334	0.0050	MAX STEPS 100 REACHED, DISTANCE 0.0334.
6447	-44.3	100	0.0493	0.0312	0.0181	MAX STEPS 100 REACHED, DISTANCE 0.0312.
6448	-55.6	100	0.0969	0.1018	-0.0049	MAX STEPS 100 REACHED, DISTANCE 0.1018.
6449	-49.6	100	0.0885	0.0516	0.0369	MAX STEPS 100 REACHED, DISTANCE 0.0516.
6450	-48.6	100	0.0659	0.0529	0.0130	MAX STEPS 100 REACHED, DISTANCE 0.0529.
6451	-58.1	100	0.1107	0.1210	-0.0104	MAX STEPS 100 REACHED, DISTANCE 0.1210.
6452	-47.9	100	0.0488	0.0497	-0.0009	MAX STEPS 100 REACHED, DISTANCE 0.0497.
6453	-43.6	100	0.0173	0.0342	-0.0169	MAX STEPS 100 REACHED, DISTANCE 0.0342.
6454	-51.1	100	0.0667	0.0721	-0.0054	MAX STEPS 100 REACHED, DISTANCE 0.0721.
6455	80.6	57	0.0333	0.0025	0.0308	GOAL!!! DISPLACEMENT 0.0025m @step 57
6456	-50.8	100	0.0977	0.0502	0.0475	MAX STEPS 100 REACHED, DISTANCE 0.0502.
6457	-53.6	100	0.0755	0.0766	-0.0011	MAX STEPS 100 REACHED, DISTANCE 0.0766.
6458	-52.5	100	0.0743	0.0743	-0.0001	MAX STEPS 100 REACHED, DISTANCE 0.0743.
6459	-55.8	100	0.1067	0.0845	0.0223	MAX STEPS 100 REACHED, DISTANCE 0.0845.
6460	-55.2	100	0.1110	0.0875	0.0235	MAX STEPS 100 REACHED, DISTANCE 0.0875.
6461	-55.2	100	0.1091	0.0893	0.0198	MAX STEPS 100 REACHED, DISTANCE 0.0893.
6462	-42.9	100	0.0726	0.0281	0.0445	MAX STEPS 100 REACHED, DISTANCE 0.0281.
6463	-137.8	85	0.0634	0.0577	0.0056	ACTUATOR EXCEEDED: l2 = 0.0740 @step 85
6464	-45.1	100	0.0643	0.0594	0.0049	MAX STEPS 100 REACHED, DISTANCE 0.0594.
6465	-51.3	100	0.0685	0.0635	0.0049	MAX STEPS 100 REACHED, DISTANCE 0.0635.
6466	81.9	47	0.0354	0.0044	0.0310	GOAL!!! DISPLACEMENT 0.0044m @step 47
6467	-131.4	56	0.1162	0.0997	0.0165	ACTUATOR EXCEEDED: l2 = 0.0740 @step 56
6468	-121.3	45	0.0750	0.0386	0.0364	ACTUATOR EXCEEDED: l2 = 0.0740 @step 45
6469	94.7	16	0.0259	0.0032	0.0228	GOAL!!! DISPLACEMENT 0.0032m @step 16
6470	-51.0	100	0.0798	0.0759	0.0039	MAX STEPS 100 REACHED, DISTANCE 0.0759.
6471	-38.1	100	0.0201	0.0234	-0.0033	MAX STEPS 100 REACHED, DISTANCE 0.0234.
6472	-124.7	51	0.0725	0.0434	0.0291	ACTUATOR EXCEEDED: l2 = 0.0740 @step 51
6473	-131.3	79	0.0193	0.0222	-0.0029	ACTUATOR EXCEEDED: l2 = 0.0740 @step 79
6474	-50.7	100	0.0743	0.0638	0.0105	MAX STEPS 100 REACHED, DISTANCE 0.0638.
6475	-130.6	74	0.0168	0.0411	-0.0243	ACTUATOR EXCEEDED: l1 = 0.0740 @step 74
6476	-139.4	90	0.0390	0.0517	-0.0127	ACTUATOR EXCEEDED: l1 = 0.0740 @step 90
6477	-48.9	100	0.0584	0.0617	-0.0033	MAX STEPS 100 REACHED, DISTANCE 0.0617.
6478	-134.5	69	0.0874	0.0546	0.0328	ACTUATOR EXCEEDED: l1 = 0.0740 @step 69
6479	-47.1	100	0.0568	0.0500	0.0068	MAX STEPS 100 REACHED, DISTANCE 0.0500.
6480	-48.7	100	0.0575	0.0600	-0.0025	MAX STEPS 100 REACHED, DISTANCE 0.0600.
6481	-147.1	91	0.0867	0.0707	0.0160	ACTUATOR EXCEEDED: l2 = 0.0740 @step 91
6482	-135.6	77	0.0599	0.0484	0.0115	ACTUATOR EXCEEDED: l1 = 0.0740 @step 77
6483	-52.1	100	0.0784	0.0607	0.0178	MAX STEPS 100 REACHED, DISTANCE 0.0607.
6484	-45.1	100	0.0610	0.0426	0.0184	MAX STEPS 100 REACHED, DISTANCE 0.0426.
6485	-145.4	88	0.0887	0.0774	0.0113	ACTUATOR EXCEEDED: l1 = 0.0740 @step 88
6486	-134.0	79	0.0221	0.0542	-0.0321	ACTUATOR EXCEEDED: l1 = 0.0740 @step 79
6487	-136.8	71	0.0800	0.0520	0.0280	ACTUATOR EXCEEDED: l2 = 0.0740 @step 71
6488	-130.2	71	0.0371	0.0329	0.0041	ACTUATOR EXCEEDED: l1 = 0.0740 @step 71
6489	-53.7	100	0.0995	0.0815	0.0180	MAX STEPS 100 REACHED, DISTANCE 0.0815.
6490	-44.1	100	0.0537	0.0463	0.0074	MAX STEPS 100 REACHED, DISTANCE 0.0463.
6491	-46.1	100	0.0508	0.0525	-0.0017	MAX STEPS 100 REACHED, DISTANCE 0.0525.
6492	-136.2	88	0.0617	0.0275	0.0342	ACTUATOR EXCEEDED: l1 = 0.0740 @step 88
6493	-119.9	44	0.0570	0.0173	0.0397	ACTUATOR EXCEEDED: l1 = 0.0740 @step 44
6494	-41.7	100	0.0465	0.0327	0.0138	MAX STEPS 100 REACHED, DISTANCE 0.0327.
6495	-40.9	100	0.0174	0.0430	-0.0256	MAX STEPS 100 REACHED, DISTANCE 0.0430.
6496	-127.2	59	0.0863	0.0355	0.0508	ACTUATOR EXCEEDED: l1 = 0.0740 @step 59
6497	-151.5	100	0.0859	0.0643	0.0216	ACTUATOR EXCEEDED: l2 = 0.0740 @step 100
6498	-130.7	63	0.0884	0.0350	0.0534	ACTUATOR EXCEEDED: l1 = 0.0740 @step 63
6499	-141.7	84	0.0822	0.0435	0.0386	ACTUATOR EXCEEDED: l2 = 0.0740 @step 84
6500	-46.9	100	0.0743	0.0543	0.0200	MAX STEPS 100 REACHED, DISTANCE 0.0543.
6501	-52.4	100	0.0865	0.0654	0.0210	MAX STEPS 100 REACHED, DISTANCE 0.0654.
6502	-50.1	100	0.0836	0.0690	0.0145	MAX STEPS 100 REACHED, DISTANCE 0.0690.
6503	-47.9	100	0.0454	0.0487	-0.0034	MAX STEPS 100 REACHED, DISTANCE 0.0487.
6504	-46.4	100	0.0479	0.0442	0.0037	MAX STEPS 100 REACHED, DISTANCE 0.0442.
6505	-45.2	100	0.0433	0.0499	-0.0066	MAX STEPS 100 REACHED, DISTANCE 0.0499.
6506	-127.8	60	0.0858	0.0203	0.0655	ACTUATOR EXCEEDED: l1 = 0.0740 @step 60
6507	-53.5	100	0.0924	0.0756	0.0168	MAX STEPS 100 REACHED, DISTANCE 0.0756.
6508	-142.9	83	0.0853	0.0714	0.0140	ACTUATOR EXCEEDED: l2 = 0.0740 @step 83
6509	-40.9	100	0.0230	0.0367	-0.0137	MAX STEPS 100 REACHED, DISTANCE 0.0367.
6510	-141.5	76	0.0936	0.0835	0.0101	ACTUATOR EXCEEDED: l1 = 0.0740 @step 76
6511	-50.3	100	0.0794	0.0589	0.0205	MAX STEPS 100 REACHED, DISTANCE 0.0589.
6512	-48.2	100	0.0491	0.0547	-0.0056	MAX STEPS 100 REACHED, DISTANCE 0.0547.
6513	-44.6	100	0.0193	0.0450	-0.0257	MAX STEPS 100 REACHED, DISTANCE 0.0450.
6514	-48.6	100	0.0751	0.0381	0.0370	MAX STEPS 100 REACHED, DISTANCE 0.0381.
6515	-53.5	100	0.0716	0.0935	-0.0219	MAX STEPS 100 REACHED, DISTANCE 0.0935.
6516	-50.5	100	0.0944	0.0548	0.0397	MAX STEPS 100 REACHED, DISTANCE 0.0548.
6517	-56.8	100	0.0956	0.0869	0.0086	MAX STEPS 100 REACHED, DISTANCE 0.0869.
6518	-45.5	100	0.0257	0.0453	-0.0196	MAX STEPS 100 REACHED, DISTANCE 0.0453.
6519	-41.8	100	0.0181	0.0383	-0.0202	MAX STEPS 100 REACHED, DISTANCE 0.0383.
6520	-53.3	100	0.1041	0.0774	0.0267	MAX STEPS 100 REACHED, DISTANCE 0.0774.
6521	95.0	16	0.0248	0.0044	0.0204	GOAL!!! DISPLACEMENT 0.0044m @step 16
6522	-44.8	100	0.0602	0.0368	0.0234	MAX STEPS 100 REACHED, DISTANCE 0.0368.
6523	-51.8	100	0.0689	0.0822	-0.0133	MAX STEPS 100 REACHED, DISTANCE 0.0822.
6524	-47.8	100	0.0800	0.0360	0.0440	MAX STEPS 100 REACHED, DISTANCE 0.0360.
6525	-53.7	100	0.1060	0.0734	0.0326	MAX STEPS 100 REACHED, DISTANCE 0.0734.
6526	-53.6	100	0.1028	0.0801	0.0228	MAX STEPS 100 REACHED, DISTANCE 0.0801.
6527	-50.1	100	0.0864	0.0513	0.0351	MAX STEPS 100 REACHED, DISTANCE 0.0513.
6528	-50.2	100	0.0953	0.0555	0.0398	MAX STEPS 100 REACHED, DISTANCE 0.0555.
6529	-42.5	100	0.0391	0.0378	0.0012	MAX STEPS 100 REACHED, DISTANCE 0.0378.
6530	-42.5	100	0.0661	0.0371	0.0290	MAX STEPS 100 REACHED, DISTANCE 0.0371.
6531	-142.3	83	0.0974	0.0515	0.0459	ACTUATOR EXCEEDED: l2 = 0.0740 @step 83
6532	-48.2	100	0.0870	0.0521	0.0349	MAX STEPS 100 REACHED, DISTANCE 0.0521.
6533	-43.1	100	0.0684	0.0319	0.0365	MAX STEPS 100 REACHED, DISTANCE 0.0319.
6534	-49.8	100	0.0408	0.0655	-0.0247	MAX STEPS 100 REACHED, DISTANCE 0.0655.
6535	-43.6	100	0.0291	0.0254	0.0038	MAX STEPS 100 REACHED, DISTANCE 0.0254.
6536	-53.3	100	0.0963	0.0808	0.0155	MAX STEPS 100 REACHED, DISTANCE 0.0808.
6537	-39.0	100	0.0545	0.0205	0.0340	MAX STEPS 100 REACHED, DISTANCE 0.0205.
6538	83.7	48	0.0400	0.0028	0.0371	GOAL!!! DISPLACEMENT 0.0028m @step 48
6539	-52.9	100	0.0972	0.0772	0.0200	MAX STEPS 100 REACHED, DISTANCE 0.0772.
6540	-40.0	100	0.0336	0.0334	0.0002	MAX STEPS 100 REACHED, DISTANCE 0.0334.
6541	-56.5	100	0.1109	0.1003	0.0106	MAX STEPS 100 REACHED, DISTANCE 0.1003.
6542	-54.7	100	0.1050	0.0825	0.0225	MAX STEPS 100 REACHED, DISTANCE 0.0825.
6543	-43.0	100	0.0495	0.0156	0.0340	MAX STEPS 100 REACHED, DISTANCE 0.0156.
6544	-53.2	100	0.0713	0.0618	0.0095	MAX STEPS 100 REACHED, DISTANCE 0.0618.
6545	-139.4	85	0.0859	0.0335	0.0524	ACTUATOR EXCEEDED: l1 = 0.0740 @step 85
6546	-51.9	100	0.0909	0.0696	0.0213	MAX STEPS 100 REACHED, DISTANCE 0.0696.
6547	-141.0	76	0.1054	0.0678	0.0377	ACTUATOR EXCEEDED: l1 = 0.0740 @step 76
6548	-141.0	91	0.0496	0.0532	-0.0036	ACTUATOR EXCEEDED: l1 = 0.0740 @step 91
6549	-43.4	100	0.0236	0.0446	-0.0210	MAX STEPS 100 REACHED, DISTANCE 0.0446.
6550	-54.3	100	0.0835	0.0780	0.0055	MAX STEPS 100 REACHED, DISTANCE 0.0780.
6551	-44.9	100	0.0339	0.0343	-0.0004	MAX STEPS 100 REACHED, DISTANCE 0.0343.
6552	-42.6	100	0.0247	0.0358	-0.0111	MAX STEPS 100 REACHED, DISTANCE 0.0358.
6553	-153.3	96	0.1112	0.0867	0.0244	ACTUATOR EXCEEDED: l1 = 0.0740 @step 96
6554	-44.8	100	0.0226	0.0487	-0.0261	MAX STEPS 100 REACHED, DISTANCE 0.0487.
6555	-53.6	100	0.0901	0.0739	0.0163	MAX STEPS 100 REACHED, DISTANCE 0.0739.
6556	-53.1	100	0.0821	0.0855	-0.0034	MAX STEPS 100 REACHED, DISTANCE 0.0855.
6557	-40.4	100	0.0376	0.0138	0.0238	MAX STEPS 100 REACHED, DISTANCE 0.0138.
6558	-49.5	100	0.0692	0.0663	0.0029	MAX STEPS 100 REACHED, DISTANCE 0.0663.
6559	78.4	58	0.0531	0.0050	0.0482	GOAL!!! DISPLACEMENT 0.0050m @step 58
6560	-53.8	100	0.0922	0.0842	0.0080	MAX STEPS 100 REACHED, DISTANCE 0.0842.
6561	-55.6	100	0.1007	0.0985	0.0022	MAX STEPS 100 REACHED, DISTANCE 0.0985.
6562	-55.4	100	0.0988	0.0913	0.0075	MAX STEPS 100 REACHED, DISTANCE 0.0913.
6563	-47.1	100	0.0591	0.0353	0.0237	MAX STEPS 100 REACHED, DISTANCE 0.0353.
6564	-52.9	100	0.0845	0.0794	0.0051	MAX STEPS 100 REACHED, DISTANCE 0.0794.
6565	-137.7	71	0.0960	0.0704	0.0257	ACTUATOR EXCEEDED: l1 = 0.0740 @step 71
6566	-37.4	100	0.0473	0.0317	0.0157	MAX STEPS 100 REACHED, DISTANCE 0.0317.
6567	-42.7	100	0.0260	0.0304	-0.0044	MAX STEPS 100 REACHED, DISTANCE 0.0304.
6568	64.6	83	0.0427	0.0045	0.0382	GOAL!!! DISPLACEMENT 0.0045m @step 83
6569	-51.5	100	0.0812	0.0664	0.0148	MAX STEPS 100 REACHED, DISTANCE 0.0664.
6570	-44.7	100	0.0312	0.0491	-0.0179	MAX STEPS 100 REACHED, DISTANCE 0.0491.
6571	-149.6	97	0.1032	0.0526	0.0505	ACTUATOR EXCEEDED: l1 = 0.0740 @step 97
6572	-49.5	100	0.0926	0.0607	0.0318	MAX STEPS 100 REACHED, DISTANCE 0.0607.
6573	-55.7	100	0.1084	0.0846	0.0238	MAX STEPS 100 REACHED, DISTANCE 0.0846.
6574	-48.7	100	0.0667	0.0544	0.0123	MAX STEPS 100 REACHED, DISTANCE 0.0544.
6575	-45.4	100	0.0316	0.0494	-0.0178	MAX STEPS 100 REACHED, DISTANCE 0.0494.
6576	-51.4	100	0.0734	0.0758	-0.0024	MAX STEPS 100 REACHED, DISTANCE 0.0758.
6577	-152.8	96	0.1132	0.0840	0.0292	ACTUATOR EXCEEDED: l2 = 0.0740 @step 96
6578	-46.5	100	0.0457	0.0352	0.0105	MAX STEPS 100 REACHED, DISTANCE 0.0352.
6579	-51.0	100	0.0728	0.0731	-0.0004	MAX STEPS 100 REACHED, DISTANCE 0.0731.
6580	-40.7	100	0.0217	0.0291	-0.0073	MAX STEPS 100 REACHED, DISTANCE 0.0291.
6581	-40.8	100	0.0671	0.0249	0.0422	MAX STEPS 100 REACHED, DISTANCE 0.0249.
6582	-55.1	100	0.1016	0.0915	0.0101	MAX STEPS 100 REACHED, DISTANCE 0.0915.
6583	-36.3	100	0.0363	0.0161	0.0202	MAX STEPS 100 REACHED, DISTANCE 0.0161.
6584	-43.5	100	0.0306	0.0440	-0.0134	MAX STEPS 100 REACHED, DISTANCE 0.0440.
6585	-48.6	100	0.0525	0.0439	0.0086	MAX STEPS 100 REACHED, DISTANCE 0.0439.
6586	-54.4	100	0.0922	0.0763	0.0159	MAX STEPS 100 REACHED, DISTANCE 0.0763.
6587	-48.8	100	0.0934	0.0518	0.0416	MAX STEPS 100 REACHED, DISTANCE 0.0518.
6588	-51.7	100	0.0561	0.0697	-0.0136	MAX STEPS 100 REACHED, DISTANCE 0.0697.
6589	-41.3	100	0.0117	0.0247	-0.0130	MAX STEPS 100 REACHED, DISTANCE 0.0247.
6590	-51.9	100	0.0684	0.0719	-0.0035	MAX STEPS 100 REACHED, DISTANCE 0.0719.
6591	-46.9	100	0.0601	0.0514	0.0086	MAX STEPS 100 REACHED, DISTANCE 0.0514.
6592	-48.3	100	0.0453	0.0438	0.0015	MAX STEPS 100 REACHED, DISTANCE 0.0438.
6593	-46.3	100	0.0627	0.0646	-0.0019	MAX STEPS 100 REACHED, DISTANCE 0.0646.
6594	-49.1	100	0.0614	0.0508	0.0105	MAX STEPS 100 REACHED, DISTANCE 0.0508.
6595	-51.9	100	0.1082	0.0539	0.0543	MAX STEPS 100 REACHED, DISTANCE 0.0539.
6596	-58.3	100	0.1051	0.1074	-0.0023	MAX STEPS 100 REACHED, DISTANCE 0.1074.
6597	-49.6	100	0.0560	0.0661	-0.0100	MAX STEPS 100 REACHED, DISTANCE 0.0661.
6598	-49.8	100	0.0567	0.0564	0.0003	MAX STEPS 100 REACHED, DISTANCE 0.0564.
6599	-38.8	100	0.0486	0.0179	0.0306	MAX STEPS 100 REACHED, DISTANCE 0.0179.
6600	-57.2	100	0.1106	0.1024	0.0081	MAX STEPS 100 REACHED, DISTANCE 0.1024.
6601	-41.0	100	0.0458	0.0218	0.0240	MAX STEPS 100 REACHED, DISTANCE 0.0218.
6602	-55.6	100	0.0849	0.0969	-0.0120	MAX STEPS 100 REACHED, DISTANCE 0.0969.
6603	-46.0	100	0.0430	0.0342	0.0088	MAX STEPS 100 REACHED, DISTANCE 0.0342.
6604	-54.5	100	0.0958	0.0892	0.0066	MAX STEPS 100 REACHED, DISTANCE 0.0892.
6605	-51.9	100	0.0551	0.0762	-0.0212	MAX STEPS 100 REACHED, DISTANCE 0.0762.
6606	-51.4	100	0.0819	0.0698	0.0122	MAX STEPS 100 REACHED, DISTANCE 0.0698.
6607	-52.3	100	0.0747	0.0757	-0.0011	MAX STEPS 100 REACHED, DISTANCE 0.0757.
6608	-39.5	100	0.0416	0.0170	0.0246	MAX STEPS 100 REACHED, DISTANCE 0.0170.
6609	-40.6	100	0.0159	0.0298	-0.0139	MAX STEPS 100 REACHED, DISTANCE 0.0298.
6610	-51.0	100	0.0715	0.0664	0.0051	MAX STEPS 100 REACHED, DISTANCE 0.0664.
6611	-39.8	100	0.0223	0.0210	0.0013	MAX STEPS 100 REACHED, DISTANCE 0.0210.
6612	-42.0	100	0.0715	0.0162	0.0553	MAX STEPS 100 REACHED, DISTANCE 0.0162.
6613	-56.4	100	0.1037	0.1013	0.0024	MAX STEPS 100 REACHED, DISTANCE 0.1013.
